,dir,time,mass,a,e,i,O,o,M,diskmass,alpha,simID,radius
779,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run10,9999999.99977,2.969688e-06,0.2141,0.085706,2.69528,336.72753,122.75589,12.26865,-999999,-999999,9,0.859633227198
784,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run10,9999999.99977,1.513154e-06,0.3116,0.080807,4.66578,218.67979,322.26601,42.45917,-999999,-999999,9,0.641204859677
800,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run10,9999999.99977,2.763757e-06,0.46061,0.028198,2.24034,219.46827,266.28124,69.93481,-999999,-999999,9,0.833188385864
826,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run10,9999999.99977,2.427579e-07,0.73265,0.093493,11.45358,145.67441,59.37851,36.89221,-999999,-999999,9,0.289381539891
829,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run10,9999999.99977,1.827886e-06,0.82901,0.087401,5.87545,26.45782,25.32271,286.37359,-999999,-999999,9,0.69610966626
813,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run10,9999999.99977,2.400786e-07,1.10022,0.151359,16.82558,103.72248,167.53058,119.50222,-999999,-999999,9,0.28798853929
818,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run10,9999999.99977,1.918607e-07,1.22997,0.319975,4.44175,33.17755,127.01721,228.91449,-999999,-999999,9,0.261241122944
828,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run10,9999999.99977,1.553721e-07,1.28182,0.191951,7.68246,1.36978,282.27355,62.43871,-999999,-999999,9,0.238347064541
821,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run10,9999999.99977,2.271737e-07,1.33733,0.233485,15.04476,248.91181,120.27431,20.07971,-999999,-999999,9,0.281152806559
835,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run11,9999999.99977,7.93048e-06,0.04122,0.094106,0.56776,13.75562,214.0699,167.22601,-999999,-999999,10,1.53452455383
843,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run11,9999999.99977,4.285525e-06,0.06797,0.0929,6.33206,45.33547,197.99911,57.59638,-999999,-999999,10,1.00825668629
857,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run11,9999999.99977,5.151701e-06,0.10375,0.039338,3.39606,317.82784,60.14616,61.36313,-999999,-999999,10,1.09227126614
861,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run11,9999999.99977,3.283621e-06,0.15287,0.131647,2.03215,248.7362,206.79127,225.18969,-999999,-999999,10,0.898024248295
865,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run11,9999999.99977,2.458661e-06,0.21607,0.078893,2.93036,206.33918,95.50438,129.40498,-999999,-999999,10,0.791873351036
879,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run11,9999999.99977,2.86581e-06,0.37443,0.039592,4.98372,206.80801,220.60276,97.70561,-999999,-999999,10,0.846427886552
900,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run11,9999999.99977,1.063982e-06,0.55553,0.077021,1.18279,174.1387,349.31625,203.41388,-999999,-999999,10,0.550170507008
886,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run11,9999999.99977,1.854578e-07,0.90807,0.297479,31.97579,143.75026,354.68991,89.53225,-999999,-999999,10,0.257414167495
906,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run11,9999999.99977,2.227961e-06,0.92209,0.060338,3.195,62.46881,121.50563,89.86073,-999999,-999999,10,0.758666514121
