,dir,time,mass,a,e,i,O,o,M,diskmass,alpha,simID,radius
804,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run13,10000000.0,3.088972e-06,0.26387,0.050766,5.74492,266.99709,205.01206,150.04943,-999999,-999999,12,0.874478920037
813,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run13,10000000.0,6.167883e-06,0.47883,0.055216,1.77622,11.43771,298.41092,253.23679,-999999,-999999,12,1.18120205824
815,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run13,10000000.0,7.925897e-06,0.84613,0.052254,1.54815,165.48797,180.58915,53.8118,-999999,-999999,12,1.24349825396
859,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run14,10000000.0,1.912593e-06,0.11711,0.182813,1.33605,149.49291,72.70208,335.15865,-999999,-999999,13,0.709955847754
865,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run14,10000000.0,1.594008e-06,0.24508,0.070199,5.30436,125.32831,312.26385,30.00237,-999999,-999999,13,0.655882577911
874,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run14,10000000.0,4.010425e-06,0.38816,0.019325,3.11681,74.17133,261.6037,233.15617,-999999,-999999,13,0.979587971567
875,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run14,10000000.0,6.219723e-06,0.55546,0.039668,1.41392,269.32012,40.74223,112.46875,-999999,-999999,13,1.18550828543
876,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run14,10000000.0,2.109309e-06,0.85899,0.093741,5.25079,228.99849,260.03267,278.62433,-999999,-999999,13,0.740827802836
878,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run14,10000000.0,3.324208e-06,1.11569,0.050436,0.39514,134.81796,307.88479,6.52678,-999999,-999999,13,0.902833573841
894,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run15,10000000.0,7.68141e-07,0.08343,0.083745,9.16387,292.77541,60.92462,27.63457,-999999,-999999,14,0.477505594774
924,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run15,10000000.0,2.525958e-06,0.18959,0.12846,8.67827,148.86542,349.9535,269.71744,-999999,-999999,14,0.801225253259
933,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run15,10000000.0,5.472872e-06,0.36554,0.083425,4.54034,7.34022,60.65253,85.31965,-999999,-999999,14,1.12137254413
941,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run15,10000000.0,1.043652e-05,0.69854,0.063937,0.20892,38.51241,302.09895,107.62847,-999999,-999999,14,2.02343140874
940,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run15,10000000.0,1.866982e-06,1.07234,0.034672,3.36006,89.03558,310.23186,298.46273,-999999,-999999,14,0.702544376752
938,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run15,10000000.0,4.169577e-06,1.54198,0.048066,1.82556,302.82852,317.46785,69.73092,-999999,-999999,14,0.996304209525
973,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run16,10000000.0,7.212444e-07,0.08344,0.288066,12.9112,272.18236,189.99966,238.82508,-999999,-999999,15,0.464604559765
991,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run16,10000000.0,2.621431e-06,0.19544,0.202165,6.40308,38.76611,296.62891,146.0067,-999999,-999999,15,0.814254147573
999,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run16,10000000.0,6.508357e-06,0.40346,0.085509,1.7923,113.94146,174.77399,185.23401,-999999,-999999,15,1.21797169822
1001,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run16,10000000.0,3.819898e-06,0.61844,0.179918,0.96318,152.66329,262.86693,220.74552,-999999,-999999,15,0.959075361057
1002,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run16,10000000.0,6.147512e-06,1.06702,0.017172,2.63857,267.17919,4.28171,110.96274,-999999,-999999,15,1.1795042898
1027,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run17,10000000.0,9.861563e-07,0.08974,0.176468,6.93233,165.18758,341.89038,5.53541,-999999,-999999,16,0.532297550306
1049,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run17,10000000.0,1.63851e-06,0.2007,0.125787,2.17709,242.18897,193.37685,107.31951,-999999,-999999,16,0.663782022568
1054,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run17,10000000.0,4.517898e-06,0.34399,0.105134,1.94864,263.07938,90.63977,12.01097,-999999,-999999,16,1.03167216808
1056,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run17,10000000.0,1.285617e-06,0.4063,0.090241,5.93786,72.26147,255.98561,13.3553,-999999,-999999,16,0.59734684953
1059,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run17,10000000.0,4.86928e-06,0.6371,0.043231,1.59358,3.53983,118.78833,110.93228,-999999,-999999,16,1.06582147228
1064,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run17,10000000.0,4.948114e-06,0.98955,0.056847,1.60564,270.12805,134.24524,88.23159,-999999,-999999,16,1.07328992227
1077,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run18,10000000.0,2.95004e-07,0.0615,0.561564,26.94285,193.15973,254.69922,352.21045,-999999,-999999,17,0.314975766823
1106,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run18,10000000.0,2.06548e-06,0.14926,0.090022,16.52352,224.95663,15.22007,256.32309,-999999,-999999,17,0.734095223322
1115,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run18,10000000.0,2.569315e-06,0.28757,0.145682,3.62279,81.25168,69.72184,132.6953,-999999,-999999,17,0.807175936277
1122,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run18,10000000.0,2.025662e-06,0.39875,0.140609,9.536,80.44504,141.30083,37.29275,-999999,-999999,17,0.727908415482
1124,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run18,10000000.0,7.456399e-06,0.5814,0.043035,3.50414,191.53835,72.93154,340.63585,-999999,-999999,17,2.13234541755
1125,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run18,10000000.0,4.324373e-06,0.83543,0.050391,4.35815,326.47872,194.43532,331.25532,-999999,-999999,17,1.01222037131
1126,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run18,10000000.0,4.228646e-06,1.25536,0.062816,2.79597,78.66226,294.72469,184.45561,-999999,-999999,17,1.00241647622
1149,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run19,10000000.0,3.540229e-07,0.06874,0.357904,22.91637,177.97,280.2604,351.38498,-999999,-999999,18,0.340967845041
1164,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run19,10000000.0,2.023354e-06,0.15715,0.297514,12.10889,308.78835,134.14101,121.75456,-999999,-999999,18,0.72754770594
1178,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run19,10000000.0,8.635596e-07,0.25989,0.071646,6.06859,212.98849,62.76788,335.49411,-999999,-999999,18,0.502444105674
1182,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run19,10000000.0,6.226557e-06,0.39897,0.090607,1.01674,194.13752,332.69089,305.87776,-999999,-999999,18,1.18607445417
1184,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run19,10000000.0,6.826696e-06,0.74281,0.016927,1.37281,25.77631,6.44588,43.6619,-999999,-999999,18,1.55374348989
1186,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run19,10000000.0,3.822468e-06,1.12191,0.021047,1.11706,148.85217,327.64082,232.65591,-999999,-999999,18,0.959355855138
1227,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run20,10000000.0,1.552727e-06,0.10174,0.089095,10.69464,97.01785,75.59984,312.15935,-999999,-999999,19,0.648442657237
1239,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run20,10000000.0,3.414144e-06,0.2746,0.091188,1.98106,226.51964,190.35342,302.62542,-999999,-999999,19,0.913373518242
1240,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run20,10000000.0,2.603946e-06,0.39944,0.101652,6.26228,230.97031,312.75089,169.51418,-999999,-999999,19,0.811888336382
1247,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run20,10000000.0,3.606018e-06,0.54281,0.040506,0.99174,154.42271,260.63693,194.71284,-999999,-999999,19,0.935347064984
1248,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run20,10000000.0,5.73613e-06,0.77614,0.056373,2.08205,13.30886,278.0479,273.1169,-999999,-999999,19,1.14451394883
